Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
252,Ramtek,Shyamkumar (Bablu) Barve,श्यामकुमार दौलत बर्वे,Indian National Congress,,,Maharashtra
253,Nagpur,Nitin Gadkari,नितिन गडकरी,Bharatiya Janata Party,,,Maharashtra
254,Bhandara–Gondiya,Prashant Padole,प्रशांत यादोराव पडोले,Indian National Congress,,,Maharashtra
255,Gadchiroli–Chimur (ST),Namdeo Kirsan,किरसन नामदेव,Indian National Congress,,,Maharashtra
256,Chandrapur,Pratibha Dhanorkar,प्रतिभा सुरेश धानोरकर,Indian National Congress,,,Maharashtra
257,Yavatmal–Washim,Sanjay Deshmukh,संजय उत्तमराव देशमुख,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
258,Hingoli,Nagesh Aashtikar Patil,नागेश आष्टिकर पाटिल,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
259,Nanded,Vasantrao Balwantrao Chavan ,वसंतराव बलवंतराव चव्हाण ,Indian National Congress,,,Maharashtra
260,Parbhani,Sanjay Jadhav,रविंद्र वसंतराव चव्हाण ,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
261,Jalna,Kalyan Kale,संजय हरिभाऊ जाधव,Indian National Congress,,,Maharashtra
262,Aurangabad,Sandipanrao Bhumre,कल्याण काले,Shiv Sena,,,Maharashtra
263,Dindori,Bhaskar Bhagare,संदीपनराव भुमरे,Nationalist Congress Party (Sharadchandra Pawar),,,Maharashtra
264,Nashik,Rajabhau Waje,भास्कर भागारे,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
265,Palghar,Hemant Savara,राजाभाऊ वाजे,Bharatiya Janata Party,,,Maharashtra
266,Bhiwandi,Suresh Mhatre,हेमन्त विष्णु सवारा,Nationalist Congress Party (Sharadchandra Pawar),,,Maharashtra
267,Kalyan,Shrikant Shinde,सुरेश गोपीनाथ म्हात्रे,Shiv Sena,,,Maharashtra
268,Thane,Naresh Mhaske,श्रीकांत एकनाथ शिंदे,Shiv Sena,,,Maharashtra
269,Mumbai North,Piyush Goyal,नरेश गणपत म्हस्के,Bharatiya Janata Party,,,Maharashtra
270,Mumbai North West,Ravindra Waikar,पीयूष गोयल,Shiv Sena,,,Maharashtra
271,Mumbai North East,Sanjay Dina Patil,रवींद्र वाईकर,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
272,Mumbai North Central,Varsha Gaikwad,संजय दिना पाटील,Indian National Congress,,,Maharashtra
273,Mumbai South Central,Anil Desai,वर्षा गायकवाड़,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
274,Mumbai South,Arvind Sawant,अनिल देसाई,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
275,Raigad,Sunil Tatkare,अरविंद सावंत,Nationalist Congress Party,,,Maharashtra
276,Maval,Shrirang Barne,तटकरे सुनील दत्तात्रेय,Shiv Sena,,,Maharashtra
277,Pune,Murlidhar Mohol,श्रीरंग बरने,Bharatiya Janata Party,,,Maharashtra
278,Baramati,Supriya Sule,मुरलीधर मोहोल,Nationalist Congress Party (Sharadchandra Pawar),,,Maharashtra
279,Shirur,Amol Kolhe,सुप्रिया सुले,Nationalist Congress Party (Sharadchandra Pawar),,,Maharashtra
280,Ahmednagar,Nilesh Lanke,अमोल रामसिंह कोल्हे,Nationalist Congress Party (Sharadchandra Pawar),,,Maharashtra
281,Shirdi,Bhausaheb Wakchaure,निलेश ज्ञानदेव लंके,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
282,Beed,Bajrang Sonwane,भाऊसाहेब राजाराम वाकचौरे,Nationalist Congress Party (Sharadchandra Pawar),,,Maharashtra
283,Osmanabad,Omprakash Rajenimbalkar,बजरंग मनोहर सोनवाणे,Shiv Sena (Uddhav Balasaheb Thackeray),,,Maharashtra
284,Latur,Shivaji Kalge,ओमप्रकाश राजेनिम्बलकर,Indian National Congress,,,Maharashtra
285,Solapur (SC),Praniti Shinde,कल्गे शिवाजी बंडप्पा,Indian National Congress,,,Maharashtra
286,Madha,Dhairyasheel Mohite Patil,प्रणीति सुशीलकुमार शिंदे,Nationalist Congress Party (Sharadchandra Pawar),,,Maharashtra
287,Sangli,Vishal Patil,मोहिते पाटिल धैर्यशील राजसिंह,Independent,,,Maharashtra
288,Satara,Udayanraje Bhosale,विशाल प्रकाशबापु पाटील,Bharatiya Janata Party,,,Maharashtra
289,Ratnagiri–Sindhudurg,Narayan Rane,उदयनराजे भोसले,Bharatiya Janata Party,,,Maharashtra
290,Kolhapur,Shahu Chhatrapati Maharaj,नारायण राणे,Indian National Congress,,,Maharashtra
291,Hatkanangle,Dhairyasheel Mane,शाहू छत्रपति महाराज,Shiv Sena,,,Maharashtra
292,Inner Manipur,Angomcha Bimol Akoijam,अंगोमचा बिमोल अकोइजम,Indian National Congress,,,Manipur
293,Outer Manipur (ST),Alfred Kan-Ngam Arthur,अल्फ्रेड कान-नगम आर्थर ,Indian National Congress,,,Manipur
294,Shillong,Ricky AJ Syngkon,रिकी एंड्रयू सिंग्कोन,Voice of the People Party,,,Meghalaya
295,Tura,Saleng A. Sangma,सालेंग संगमा ,Indian National Congress,,,Meghalaya
296,Mizoram,Richard Vanlalhmangaiha,रिचर्ड वानलालहमंगइहा ,Zoram People's Movement,,,Mizoram
297,Nagaland,S. Supongmeren Jamir,सुपोंगमेरें जमीर,Indian National Congress,,,Nagaland
298,Bargarh,Pradip Purohit,प्रदीप पुरोहित,Bharatiya Janata Party,,,Odisha
299,Sundargarh (ST),Jual Oram,जुएल ओराम,Bharatiya Janata Party,,,Odisha
300,Sambalpur,Dharmendra Pradhan,धर्मेंद्र प्रधान,Bharatiya Janata Party,,,Odisha
301,Keonjhar (ST),Ananta Nayak,अनंत नायक,Bharatiya Janata Party,,,Odisha
302,Mayurbhanj (ST),Naba Charan Majhi,नाबा चरण मांझी,Bharatiya Janata Party,,,Odisha
303,Balasore,Pratap Chandra Sarangi,प्रताप चन्द्र षड़ंगी,Bharatiya Janata Party,,,Odisha
304,Bhadrak (SC),Avimanyu Sethi,अभिमन्यु सेठी,Bharatiya Janata Party,,,Odisha
305,Jajpur (SC),Rabindra Narayan Behera,रबिन्द्र नारायण बेहरा,Bharatiya Janata Party,,,Odisha
306,Dhenkanal,Rudra Narayan Pany,रुद्र नारायण पेनी,Bharatiya Janata Party,,,Odisha
307,Bolangir,Sangeeta Kumari Singh Deo,संगीता कुमारी सिंह देव,Bharatiya Janata Party,,,Odisha
308,Kalahandi,Malvika Devi,मालविका देवी,Bharatiya Janata Party,,,Odisha
309,Nabarangpur (ST),Balabhadra Majhi,बलभद्र माझी,Bharatiya Janata Party,,,Odisha
310,Kandhamal,Sukanta Kumar Panigrahi,सुकान्त कुमार पानीग्राही,Bharatiya Janata Party,,,Odisha
311,Cuttack,Bhartruhari Mahtab,भर्तुहरी महताब,Bharatiya Janata Party,,,Odisha
312,Kendrapara,Baijayant Panda,बैजयंत पांडा,Bharatiya Janata Party,,,Odisha
313,Jagatsinghpur (SC),Bibhu Prasad Tarai,बिभू प्रसाद तरै,Bharatiya Janata Party,,,Odisha
314,Puri,Sambit Patra,संबित पात्रा,Bharatiya Janata Party,,,Odisha
315,Bhubaneswar,Aparajita Sarangi,अपराजिता षडंगी,Bharatiya Janata Party,,,Odisha
316,Aska,Anita Subhadarshini,अनीता सुभदर्शिनी,Bharatiya Janata Party,,,Odisha
317,Berhampur,Pradeep Kumar Panigrahy,प्रदीप कुमार पाणिग्राही,Bharatiya Janata Party,,,Odisha
318,Koraput,Saptagiri Sankar Ulaka,सप्तगिरि शंकर उल्का,Indian National Congress,,,Odisha
319,Puducherry,V. Vaithilingam,वी॰ वैठलिंगम ,Indian National Congress,,,Puducherry
320,Gurdaspur,Sukhjinder Singh Randhawa,सुखजिंदर सिंह रंधावा,Indian National Congress,,,Punjab
321,Amritsar,Gurjeet Singh Aujla,गुरजीत सिंह औजला,Indian National Congress,,,Punjab
322,Khadoor Sahib,Amritpal Singh,अमृतपाल सिंह,Akali Dal (Waris Punjab De),,,Punjab
323,Jalandhar,Charanjit Singh Channi,चरणजीत सिंह चन्नी,Indian National Congress,,,Punjab
324,Hoshiarpur,Raj Kumar Chabbewal,राज कुमार चैबेवाल,Aam Aadmi Party,,,Punjab
325,Anandpur Sahib,Malwinder Singh Kang,मालविंदर सिंह कंग,Aam Aadmi Party,,,Punjab
326,Ludhiana,Amrinder Singh Raja Warring,अमरिंदर सिंह राजा वडिंग,Indian National Congress,,,Punjab
327,Fatehgarh Sahib (SC),Amar Singh,अमर सिंह,Indian National Congress,,,Punjab
328,Faridkot,Sarabjeet Singh Khalsa,सरबजीत सिंह खालसा,Akali Dal (Waris Punjab De),,,Punjab
329,Ferozpur,Sher Singh Ghubaya,शेर सिंह घुबाया,Indian National Congress,,,Punjab
330,Bathinda,Harsimrat Kaur Badal,हरसिमरत कौर बादल,Shiromani Akali Dal,,,Punjab
331,Sangrur,Gurmeet Singh Meet Hayer,गुरुमीत सिंह मीत हेयर,Aam Aadmi Party,,,Punjab
332,Patiala,Dharamvir Gandhi,धर्मवीर गांधी,Indian National Congress,,,Punjab
333,Ganganagar,Kuldeep Indora,कुलदीप इंदौरा,Indian National Congress,,,Rajasthan
334,Bikaner,Arjun Ram Meghwal,अर्जुन राम मेघवाल,Bharatiya Janata Party,,,Rajasthan
335,Churu,Rahul Kaswan,राहुल कस्वां,Indian National Congress,,,Rajasthan
336,Jhunjhunu,Brijendra Singh Ola,बृजेन्द्र सिंह ओला,Indian National Congress,,,Rajasthan
337,Sikar,Amra Ram,अमरा राम,Communist Party of India (Marxist),,,Rajasthan
338,Jaipur Rural,Rao Rajendra Singh,राव राजेन्द्र सिंह,Bharatiya Janata Party,,,Rajasthan
339,Jaipur,Manju Sharma,मंजू शर्मा,Bharatiya Janata Party,,,Rajasthan
340,Alwar,Bhupender Yadav,भूपेन्द्र यादव,Bharatiya Janata Party,,,Rajasthan
341,Bharatpur,Sanjana Jatav,संजना जाटव,Indian National Congress,,,Rajasthan
342,Karauli–Dholpur (SC),Bhajan Lal Jatav,भजनलाल जाटव,Indian National Congress,,,Rajasthan
343,Dausa (ST),Murari Lal Meena,मुरारीलाल मीणा,Indian National Congress,,,Rajasthan
344,Tonk–Sawai Madhopur,Harish Meena,हरीशचन्द्र मीणा,Indian National Congress,,,Rajasthan
345,Ajmer,Bhagirath Chaudhary,भागीरथ चौधरी,Bharatiya Janata Party,,,Rajasthan
346,Nagaur,Hanuman Beniwal,हनुमान बेनीवाल,Rashtriya Loktantrik Party,,,Rajasthan
347,Pali,P. P. Chaudhary,पी॰पी॰ चौधरी,Bharatiya Janata Party,,,Rajasthan
348,Jodhpur,Gajendra Singh Shekhawat,गजेन्द्र सिंह शेखावत,Bharatiya Janata Party,,,Rajasthan
349,Barmer,Ummeda Ram Beniwal,उम्मेदा राम बेनीवाल,Indian National Congress,,,Rajasthan
350,Jalore,Lumbaram Choudhary,लुम्बाराम चौधरी,Bharatiya Janata Party,,,Rajasthan
351,Udaipur (ST),Manna Lal Rawat,मुन्ना लाल रावत,Bharatiya Janata Party,,,Rajasthan
352,Banswara,Rajkumar Roat,राजकुमार रोत,Bharat Adivasi Party,,,Rajasthan
353,Chittorgarh,Chandra Prakash Joshi,चन्द्रप्रकाश जोशी,Bharatiya Janata Party,,,Rajasthan
354,Rajsamand,Mahima Kumari Mewar,महिमा कुमारी मेवाड़,Bharatiya Janata Party,,,Rajasthan
355,Bhilwara,Damodar Agarwal,दामोदर अग्रवाल,Bharatiya Janata Party,,,Rajasthan
356,Kota,Om Birla,ओम बिड़ला,Bharatiya Janata Party,,,Rajasthan
357,Jhalawar,Dushyant Singh,दुष्यंत सिंह,Bharatiya Janata Party,,,Rajasthan
358,Sikkim,Indra Hang Subba,इंद्र हांग सुब्बा,Sikkim Krantikari Morcha,,,Sikkim
359,Thiruvallur,Sasikanth Senthil,शशिकांत सेंथिल,Indian National Congress,,,Tamil Nadu
360,Chennai North,Kalanidhi Veeraswamy,कलानिधि वीरस्वामी,Dravida Munnetra Kazhagam,,,Tamil Nadu
361,Chennai South,Tamizhachi Thangapandian,तमिलची थंगापांडियन,Dravida Munnetra Kazhagam,,,Tamil Nadu
362,Chennai Central,Dayanidhi Maran,दयानिधि मारन,Dravida Munnetra Kazhagam,,,Tamil Nadu
363,Sriperumbudur,T.R. Baalu,टीआर बालू,Dravida Munnetra Kazhagam,,,Tamil Nadu
364,Kancheepuram (SC),G. Selvam,जी सेल्वम,Dravida Munnetra Kazhagam,,,Tamil Nadu
365,Arakkonam,S. Jagathrakshakan,एस॰ जगतरक्षकन,Dravida Munnetra Kazhagam,,,Tamil Nadu
366,Vellore,D.M.K. Anand,डीएमके आनन्द,Dravida Munnetra Kazhagam,,,Tamil Nadu
367,Krishnagiri,K. Gopinath,के गोपीनाथ,Indian National Congress,,,Tamil Nadu
368,Dharmapuri,A. Mani,ए॰ मणि,Dravida Munnetra Kazhagam,,,Tamil Nadu
369,Tiruvannamalai,C.N. Annadurai,सीएन अन्नादुराई,Dravida Munnetra Kazhagam,,,Tamil Nadu
370,Arani,M.S. Tharanivendhan,एमएस थरानिवेंधन,Dravida Munnetra Kazhagam,,,Tamil Nadu
371,Viluppuram,Durai Ravikumar,दुरै रविकुमार,Viduthalai Chiruthaigal Katchi,,,Tamil Nadu
372,Kallakurichi,Malaiyarasan D,मलैयारसन डी,Dravida Munnetra Kazhagam,,,Tamil Nadu
373,Salem,T. M. Selvaganapathi,टीएम सेलवागणपती,Dravida Munnetra Kazhagam,,,Tamil Nadu
374,Namakkal,V. S. Matheswaran,वीएस मातेस्वरन,Dravida Munnetra Kazhagam,,,Tamil Nadu
375,Erode,K. E. Prakash,के॰ई॰ प्रकाश,Dravida Munnetra Kazhagam,,,Tamil Nadu
376,Tiruppur,K. Subbarayan,के॰ सुब्बरयन,Communist Party of India,,,Tamil Nadu
377,Nilgiris,A. Raja,ए॰ राजा,Dravida Munnetra Kazhagam,,,Tamil Nadu
378,Coimbatore,Ganapathi P. Raj Kumar,गणपती पी॰ राजकुमार,Ganapathi P. Raj Kumar,,,Tamil Nadu
379,Pollachi,Eswarasamy,ईश्वरसामी,Eswarasamy,,,Tamil Nadu
380,Dindigul,R. Sachidanandam,आर॰ सच्चिदानन्दम,Communist Party of India (Marxist),,,Tamil Nadu
381,Karur,Jothimani,ज्योतिमणि,Indian National Congress,,,Tamil Nadu
382,Tiruchirappalli,Durai Vaiyapuri,दुरै वैयापुरी,Marumalarchi Dravida Munnetra Kazhagam,,,Tamil Nadu
383,Perambalur,Arun Nehru,अरुण नेहरू,Dravida Munnetra Kazhagam,,,Tamil Nadu
384,Cuddalore,M. K. Vishnu Prasad,एमके विष्णु प्रसाद,Indian National Congress,,,Tamil Nadu
385,Chidambaram,Thol. Thirumavalavan,तोल थिरुमावलवन,Viduthalai Chiruthaigal Katchi,,,Tamil Nadu
386,Mayiladuthurai,Sudha Ramakrishnan,सुधा रामकृष्णन,Indian National Congress,,,Tamil Nadu
387,Nagapattinam,Selvaraj V,सेलवराज वी,Communist Party of India,,,Tamil Nadu
388,Thanjavur,S. Murasoli,एस मुरसोली,Dravida Munnetra Kazhagam,,,Tamil Nadu
389,Sivaganga,Karti Chidambaram,कार्ति चिदंबरम,Indian National Congress,,,Tamil Nadu
390,Madurai,S. Venkatesan,सु. वेंकटेशन,Communist Party of India (Marxist),,,Tamil Nadu
391,Theni,Thanga Tamil Selvan,तंगा तमिल सेलवन,Dravida Munnetra Kazhagam,,,Tamil Nadu
392,Virudhunagar,Manickam Tagore,मणिकम टैगोर,Indian National Congress,,,Tamil Nadu
393,Ramanathapuram,Navas Kani,नवस कणि,Indian Union Muslim League,,,Tamil Nadu
394,Thoothukkudi,Kanimozhi Karunanidhi,कनिमोझी करुणानिधि,Dravida Munnetra Kazhagam,,,Tamil Nadu
395,Tenkasi (SC),Tenkasi (SC),रानी श्रीकुमार,Rani Srikumar,,,Tamil Nadu
396,Tirunelveli,Robert Bruce,रोबर्ट ब्रूस,Indian National Congress,,,Tamil Nadu
397,Kanyakumari,Vijay Vasanth,विजय वसन्त,Indian National Congress,,,Tamil Nadu
,,,,,,,
398,Adilabad,Godam Nagesh,गोडाम नागेश,Bharatiya Janata Party,,,Telangana
399,Peddapalle,Vamsi Krishna Gaddam,वामसी कृष्ण गद्दाम,Indian National Congress,,,Telangana
400,Karimnagar,Bandi Sanjay Kumar,बंडी संजय कुमार,Bharatiya Janata Party,,,Telangana
401,Nizamabad,Dharmapuri Arvind,धर्मपुरी अरविन्द,Bharatiya Janata Party,,,Telangana
402,Zahirabad,Suresh Shetkar,सुरेश कुमार शेतकर,Indian National Congress,,,Telangana
403,Medak,Raghunandan Rao,रघुनंदन राव,Bharatiya Janata Party,,,Telangana
404,Malkajgiri,Etela Rajender,ईटेला राजेंदर,Bharatiya Janata Party,,,Telangana
405,Secunderabad,G. Kishan Reddy,जी. किशन रेड्डी,Bharatiya Janata Party,,,Telangana
406,Hyderabad,Asaduddin Owaisi,असदुद्दीन ओवैसी,All India Majlis-e-Ittehadul Muslimeen,,,Telangana
407,Chevella,Konda Vishweshwar Reddy,कोंडा विश्वेश्वर रेड्डी,Bharatiya Janata Party,,,Telangana
408,Mahbubnagar,D. K. Aruna,धर्मवरपु कोट्टम अरुणा,Bharatiya Janata Party,,,Telangana
409,Nagarkurnool,Mallu Ravi,मल्लू रवि,Indian National Congress,,,Telangana
410,Nalgonda,Raghuveer Reddy Kunduru,रघुवीर रेड्डी कुंदरू,Indian National Congress,,,Telangana
411,Bhongir,Chamala Kiran Kumar Reddy,चमाला किरण कुमार रेड्डी,Indian National Congress,,,Telangana
412,Warangal (SC),Kadiyam Kavya,काडियाम काव्य,Indian National Congress,,,Telangana
413,Mahabubabad (ST),Balram Naik,बलराम नाइक,Indian National Congress,,,Telangana
414,Khammam,Ramasahayam Raghuram Reddy,रामसहायम रघुराम रेड्डी,Indian National Congress,,,Telangana
415,Tripura West,Biplab Kumar Deb,बिप्लब कुमार देब,Bharatiya Janata Party,,,Tripura
416,Tripura East (ST),Kriti Singh Debbarma,कृति सिंह देबबर्मा ,Bharatiya Janata Party,,,Tripura
417,Saharanpur,Imran Masood,इमरान मसूद,Indian National Congress,,,Uttar Pradesh
418,Kairana,Iqra Choudhary,इकरा चौधरी,Samajwadi Party,,,Uttar Pradesh
419,Muzaffarnagar,Harendra Singh Malik,हरेन्द्र सिंह मलिक,Samajwadi Party,,,Uttar Pradesh
420,Bijnor,Chandan Chauhan,चंदन चौहान,Rashtriya Lok Dal,,,Uttar Pradesh
421,Nagina,Chandrashekhar Azad,चंद्रशेखर आज़ाद,Azad Samaj Party (Kanshi Ram),,,Uttar Pradesh
422,Moradabad,Ruchi Veera,रुचि वीरा,Samajwadi Party,,,Uttar Pradesh
423,Rampur,Mohibbullah,मोहिबुल्लाह,Samajwadi Party,,,Uttar Pradesh
424,Sambhal,Zia ur Rahman Barq,ज़ियाऊर्रहमान बराक़,Samajwadi Party,,,Uttar Pradesh
425,Amroha,Kanwar Singh Tanwar,कँवर सिंह तंवर,Bharatiya Janata Party,,,Uttar Pradesh
426,Meerut,Meerut,अरुण गोविल,Bharatiya Janata Party,,,Uttar Pradesh
427,Baghpat,Rajkumar Sangwan,राजकुमार सांगवान,Rashtriya Lok Dal,,,Uttar Pradesh
428,Ghaziabad,Atul Garg,अतुल गर्ग,Bharatiya Janata Party,,,Uttar Pradesh
429,Gautam Buddh Nagar,Dr. Mahesh Sharma,महेश शर्मा,Bharatiya Janata Party,,,Uttar Pradesh
430,Bulandshahr (SC),Bhola Singh,भोला सिंह,Bharatiya Janata Party,,,Uttar Pradesh
431,Aligarh,Satish Kumar Gautam,सतीश कुमार गौतम,Bharatiya Janata Party,,,Uttar Pradesh
432,Hathras (SC),Anoop Pradhan,अनूप प्रधान बाल्मीकी,Bharatiya Janata Party,,,Uttar Pradesh
433,Mathura,Hema Malini,हेमा मालिनी,Bharatiya Janata Party,,,Uttar Pradesh
434,Agra (SC),S.P. Singh Baghel,एस० पी० सिंह बघेल,Bharatiya Janata Party,,,Uttar Pradesh
435,Fatehpur Sikri,Rajkumar Chahar,राजकुमार चाहर,Bharatiya Janata Party,,,Uttar Pradesh
436,Firozabad,Akshay Yadav,अक्षय यादव,Samajwadi Party,,,Uttar Pradesh
437,Mainpuri,Dimple Yadav,डिम्पल यादव,Samajwadi Party,,,Uttar Pradesh
438,Etah,Devesh Shakya,देवेश शाक्य,Samajwadi Party,,,Uttar Pradesh
439,Badaun,Aaditya Yadav,आदित्य यादव,Samajwadi Party,,,Uttar Pradesh
440,Aonla,Neeraj Kushwaha Maurya,नीरज मौर्य,Samajwadi Party,,,Uttar Pradesh
441,Bareilly,Chhatrapal Singh Gangwar,छत्रपाल सिंह गंगवार,Bharatiya Janata Party,,,Uttar Pradesh
442,Pilibhit,Jitin Prasada,जितिन प्रसाद,Bharatiya Janata Party,,,Uttar Pradesh
443,Shahjahanpur (SC),Arun Kumar Sagar,अरुण कुमार सागर,Bharatiya Janata Party,,,Uttar Pradesh
444,Kheri,Utkarsh Verma,उत्‍कर्ष वर्मा,Samajwadi Party,,,Uttar Pradesh
445,Dhaurahra,Anand Bhadauriya,आनंद भदौरिया,Anand Bhadauriya,,,Uttar Pradesh
446,Sitapur,Rakesh Rathore,राकेश राठौर,Indian National Congress,,,Uttar Pradesh
447,Hardoi,Jai Prakash,जय प्रकाश,Bharatiya Janata Party,,,Uttar Pradesh
448,Misrikh (SC),Ashok Kumar Rawat,अशोक कुमार रावत,Bharatiya Janata Party,,,Uttar Pradesh
449,Unnao,Sakshi Maharaj,साक्षी महाराज,Bharatiya Janata Party,,,Uttar Pradesh
450,Mohanlalganj,R. K. Chaudhary,आर॰के॰ चौधरी,Samajwadi Party,,,Uttar Pradesh
451,Lucknow,Rajnath Singh,राजनाथ सिंह,Bharatiya Janata Party,,,Uttar Pradesh
452,Rae Bareli,Rahul Gandhi,राहुल गांधी,Indian National Congress,,,Uttar Pradesh
453,Amethi,Kishori Lal Sharma,किशोरी लाल शर्मा,Indian National Congress,,,Uttar Pradesh
454,Sultanpur,Rambhual Nishad,रामभुआल निषाद,Samajwadi Party,,,Uttar Pradesh
455,Pratapgarh,S. P. Singh Patel,शिव पाल सिंह पटेल,Samajwadi Party,,,Uttar Pradesh
456,Farrukhabad,Mukesh Rajput,मुकेश राजपूत,Bharatiya Janata Party,,,Uttar Pradesh
457,Etawah,Jitendra Kumar Dohare,जितेन्द्र कुमार दोहरे,Samajwadi Party,,,Uttar Pradesh
458,Kannauj,Akhilesh Yadav,अखिलेश यादव,Samajwadi Party,,,Uttar Pradesh
459,Kanpur,Ramesh Awasthi,रमेश अवस्थी,Bharatiya Janata Party,,,Uttar Pradesh
460,Akbarpur,Devendra Singh Bhole,देवेन्द्र सिंह उर्फ ​​भोले सिंह,Bharatiya Janata Party,,,Uttar Pradesh
461,Jalaun,Narayan Das Ahirwar,नारायण दास अहिरवार,Samajwadi Party,,,Uttar Pradesh
462,Jhansi,Anurag Sharma,अनुराग शर्मा,Bharatiya Janata Party,,,Uttar Pradesh
463,Hamirpur,Ajendra Singh Lodhi,अजेन्‍द्र सिंह लोधी,Samajwadi Party,,,Uttar Pradesh
464,Banda,Krishna Devi Shivshanker Patel,कृष्णा देवी शिवशंकर पटेल,Samajwadi Party,,,Uttar Pradesh
465,Fatehpur,Naresh Uttam Patel,नरेश चन्द्र उत्तम पटेल,Samajwadi Party,,,Uttar Pradesh
466,Kaushambi (SC),Pushpendra Saroj,पुष्पेन्द्र सरोज,Samajwadi Party,,,Uttar Pradesh
467,Phulpur,Praveen Patel,प्रवीण पटेल,Bharatiya Janata Party,,,Uttar Pradesh
468,Allahabad,Ujjwal Rewati Raman Singh,उज्जवल रमण सिंह,Indian National Congress,,,Uttar Pradesh
469,Barabanki (SC),Tanuj Punia,तनुज पुनिया,Indian National Congress,,,Uttar Pradesh
470,Faizabad,Awadhesh Prasad,अवधेश प्रसाद,Samajwadi Party,,,Uttar Pradesh
471,Ambedkar Nagar,Lalji Verma,लालजी वर्मा,Samajwadi Party,,,Uttar Pradesh
472,Bahraich,Anand Kumar,आनन्द कुमार,Bharatiya Janata Party,,,Uttar Pradesh
473,Kaiserganj,Karan Bhushan Singh,करण भूषण सिंह,Bharatiya Janata Party,,,Uttar Pradesh
474,Shrawasti,Ram Shiromani Verma,राम शिरोमणि वर्मा,Samajwadi Party,,,Uttar Pradesh
475,Gonda,Kirti Vardhan Singh,कीर्तिवर्धन सिंह,Bharatiya Janata Party,,,Uttar Pradesh
476,Domariyaganj,Jagdambika Pal,जगदम्बिका पाल,Bharatiya Janata Party,,,Uttar Pradesh
477,Basti,Ram Prasad Chaudhary,राम प्रसाद चौधरी,Samajwadi Party,,,Uttar Pradesh
478,Sant Kabir Nagar,Laxmikant alias Pappu Nishad,लक्ष्‍मीकान्‍त पप्‍पू निषाद,Samajwadi Party,,,Uttar Pradesh
479,Maharajganj,Pankaj Chaudhary,पंकज चौधरी,Bharatiya Janata Party,,,Uttar Pradesh
480,Gorakhpur,Ravi Kishan,रवि किशन,Bharatiya Janata Party,,,Uttar Pradesh
481,Kushi Nagar,Vijay Kumar Dubey,विजय कुमार दूबे,Bharatiya Janata Party,,,Uttar Pradesh
482,Deoria,Shashank Mani,शशांक मणि,Bharatiya Janata Party,,,Uttar Pradesh
483,Bansgaon (SC),Kamlesh Paswan,कमलेश पासवान,Bharatiya Janata Party,,,Uttar Pradesh
484,Lalganj,Daroga Saroj,दरोगा प्रसाद सरोज,Samajwadi Party,,,Uttar Pradesh
485,Azamgarh,Dharmendra Yadav,धर्मेन्द्र यादव,Samajwadi Party,,,Uttar Pradesh
486,Ghosi,Rajiv Rai,राजीव राय,Samajwadi Party,,,Uttar Pradesh
487,Salempur,Ramashankar Rajbhar,रमाशंकर राजभर,Samajwadi Party,,,Uttar Pradesh
488,Ballia,Sanatan Pandey,सनातन पाण्डेय,Samajwadi Party,,,Uttar Pradesh
489,Jaunpur,Babu Singh Kushwaha,बाबू सिंह कुशवाहा,Samajwadi Party,,,Uttar Pradesh
490,Machhlishahr (SC),Priya Saroj,प्रिया सरोज,Samajwadi Party,,,Uttar Pradesh
491,Ghazipur,Afzal Ansari,अफ़ज़ल अंसारी,Samajwadi Party,,,Uttar Pradesh
492,Chandauli,Bijendra Singh,बीरेन्द्र सिंह,Samajwadi Party,,,Uttar Pradesh
493,Varanasi,Narendra Modi,नरेन्द्र मोदी,Bharatiya Janata Party,,,Uttar Pradesh
494,Bhadohi,Vinod Kumar Bind,विनोद कुमार बिन्द,Bharatiya Janata Party,,,Uttar Pradesh
495,Mirzapur,Anupriya Patel,अनुप्रिया पटेल,Apna Dal (Soneylal),,,Uttar Pradesh
496,Robertsganj,Chhotelal Kharwar,छोटेलाल खारवार,Samajwadi Party,,,Uttar Pradesh
497,Tehri Garhwal,Mala Rajya Laxmi Shah,माला राज्यलक्ष्मी शाह,Bharatiya Janata Party,,,Uttarakhand
498,Garhwal,Anil Baluni,अनिल बलूनी,Bharatiya Janata Party,,,Uttarakhand
499,Almora (SC),Ajay Tamta,अजय टम्टा,Bharatiya Janata Party,,,Uttarakhand
500,Nainital–Udhamsingh Nagar,Ajay Bhatt,अजय भट्‌ट,Bharatiya Janata Party,,,Uttarakhand
501,Haridwar,Trivendra Singh Rawat,त्रिवेन्द्र सिंह रावत,Bharatiya Janata Party,,,Uttarakhand
502,Cooch Behar,Jagadish Chandra Barma Basunia,जगदीश चन्द्र बर्मा बासुनिया,Trinamool Congress,,,West Bengal
