Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
56,Darbhanga,Gopal Jee Thakur,गोपाल जी ठाकुर,Bharatiya Janata Party,,,Bihar
57,Muzaffarpur,Raj Bhushan Choudhary,राज भूषण चौधरी,Bharatiya Janata Party,,,Bihar
58,Vaishali,Veena Devi,वीणा देवी,Lok Janshakti Party (Ram Vilas),,,Bihar
59,Gopalganj,Alok Kumar Suman,आलोक कुमार सुमन,Janata Dal (United),,,Bihar
60,Siwan,Vijay Lakshmi Kushwaha,विजय लक्ष्मी कुशवाहा,Janata Dal (United),,,Bihar
61,Maharajganj,Janardan Singh Sigriwal,जनार्दन सिंह सिग्रीवाल,Bharatiya Janata Party,,,Bihar
62,Saran,Rajiv Pratap Rudy,राजीव प्रताप रूडी,Bharatiya Janata Party,,,Bihar
63,Hajipur,Chirag Paswan,चिराग पासवान,Lok Janshakti Party (Ram Vilas),,,Bihar
64,Ujiarpur,Nityanand Rai,नित्यानंद राय,Bharatiya Janata Party,,,Bihar
65,Samastipur,Shambhavi Choudhary,सम्भवी चौधरी,Lok Janshakti Party (Ram Vilas),,,Bihar
66,Begusarai,Giriraj Singh,गिरिराज सिंह,Bharatiya Janata Party,,,Bihar
67,Khagaria,Rajesh Verma,राजेश वर्मा,Lok Janshakti Party (Ram Vilas),,,Bihar
68,Bhagalpur,Ajay Kumar Mandal,अजय कुमार मंडल,Janata Dal (United),,,Bihar
69,Banka,Giridhari Yadav,गिरिधारी यादव,Janata Dal (United),,,Bihar
70,Munger,Rajiv Ranjan Singh,राजीव रंजन सिंह,Janata Dal (United),,,Bihar
71,Nalanda,Kaushalendra Kumar,कौशलेन्द्र कुमार,Janata Dal (United),,,Bihar
72,Patna Sahib,Ravi Shankar Prasad,रवि शंकर प्रसाद,Bharatiya Janata Party,,,Bihar
73,Pataliputra,Misa Bharti,मीसा भारती,Rashtriya Janata Dal,,,Bihar
74,Arrah,Sudama Prasad,सुदामा प्रसाद,Communist Party of India (Marxist-Leninist) Liberation,,,Bihar
75,Buxar,Sudhakar Singh,सुधाकर सिंह,Rashtriya Janata Dal,,,Bihar
76,Sasaram,Manoj Kumar,मनोज कुमार,Indian National Congress,,,Bihar
