Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date ,New Party,State
430,Shahjahanpur,Krishna Raj,कृष्णा राज,Bharatiya Janata Party,,,Uttar Pradesh
431,Kheri,Ajay Kumar Mishra,अजय कुमार मिश्रा,Bharatiya Janata Party,,,Uttar Pradesh
432,Dhaurahra,Rekha Verma,रेखा वर्मा,Bharatiya Janata Party,,,Uttar Pradesh
433,Sitapur,Rajesh Verma,राजेश वर्मा,Bharatiya Janata Party,,,Uttar Pradesh
434,Hardoi,Anshul Verma,अंशुल वर्मा,Bharatiya Janata Party,,,Uttar Pradesh
435,Misrikh,Anju Bala,अंजू बाला,Bharatiya Janata Party,,,Uttar Pradesh
436,Unnao,Sakshi Maharaj,साक्षी महाराज,Bharatiya Janata Party,,,Uttar Pradesh
437,Mohanlalganj,Kaushal Kishore,कौशल किशोर,Bharatiya Janata Party,,,Uttar Pradesh
438,Lucknow,Rajnath Singh,राजनाथ सिंह,Bharatiya Janata Party,,,Uttar Pradesh
439,Rae Bareli,Sonia Gandhi,सोनिया गांधी,Indian National Congress,,,Uttar Pradesh
440,Amethi,Rahul Gandhi,राहुल गांधी,Indian National Congress,,,Uttar Pradesh
441,Sultanpur,Varun Gandhi,वरुण गांधी,Bharatiya Janata Party,,,Uttar Pradesh
442,Pratapgarh,Harivansh Singh,हरिवंश सिंह,Apna Dal,,,Uttar Pradesh
443,Farrukhabad,Mukesh Rajput,मुकेश राजपूत,Bharatiya Janata Party,,,Uttar Pradesh
444,Etawah,Ashok Kumar Doharey,अशोक कुमार दोहरे,Bharatiya Janata Party,,,Uttar Pradesh
445,Kannauj,Dimple Yadav,डिंपल यादव,Samajwadi Party,,,Uttar Pradesh
446,Kanpur,Murli Manohar Joshi,मुरली मनोहर जोशी,Bharatiya Janata Party,,,Uttar Pradesh
447,Akbarpur,Devendra Singh (Bhole Singh),देवेंद्र सिंह (भोले सिंह),Bharatiya Janata Party,,,Uttar Pradesh
448,Jalaun,Bhanu Pratap Singh Verma,भानु प्रताप सिंह वर्मा,Bharatiya Janata Party,,,Uttar Pradesh
449,Jhansi,Uma Bharti,उमा भारती,Bharatiya Janata Party,,,Uttar Pradesh
450,Hamirpur,Pushpendra Singh Chandel,पुष्पेंद्र सिंह चंदेल,Bharatiya Janata Party,,,Uttar Pradesh
451,Banda,Bhairon Prasad Mishra,भैरों प्रसाद मिश्रा,Bharatiya Janata Party,,,Uttar Pradesh
452,Fatehpur,Niranjan Jyoti,निरंजन ज्योति,Bharatiya Janata Party,,,Uttar Pradesh
453,Kaushambi,Vinod Kumar Sonkar,विनोद कुमार सोंकर,Bharatiya Janata Party,,,Uttar Pradesh
454.1,Phulpur,Keshav Prasad Maurya,केशव प्रसाद मौर्य,Bharatiya Janata Party,,,Uttar Pradesh
454.2,Phulpur,Nagendra Pratap Singh Patel,नागेन्द्र प्रताप सिंह पटेल,Samajwadi Party,,,Uttar Pradesh
455,Allahabad,Shyama Charan Gupta,श्यामा चरण गुप्ता,Bharatiya Janata Party,,,Uttar Pradesh
456,Barabanki,Priyanka Singh Rawat,प्रियंका सिंह रावत,Bharatiya Janata Party,,,Uttar Pradesh
457,Faizabad,Lallu Singh,लल्लू सिंह,Bharatiya Janata Party,,,Uttar Pradesh
458,Ambedkar Nagar,Hari Om Pandey,हरि ओम पांडे,Bharatiya Janata Party,,,Uttar Pradesh
459,Bahraich,Savitri Bai Phule,सावित्री बाई फुले,Bharatiya Janata Party,,,Uttar Pradesh
460,Kaiserganj,Brij Bhushan Sharan Singh,बृज भूषण शरण सिंह,Bharatiya Janata Party,,,Uttar Pradesh
461,Shrawasti,Daddan Mishra,दद्दन मिश्रा,Bharatiya Janata Party,,,Uttar Pradesh
462,Gonda,Kirti Vardhan Singh,कीर्ति वर्धन सिंह,Bharatiya Janata Party,,,Uttar Pradesh
463,Domariyaganj,Jagdambika Pal,जगदंबिका पाल,Bharatiya Janata Party,,,Uttar Pradesh
464,Basti,Harish Dwivedi,हरीश द्विवेदी,Bharatiya Janata Party,,,Uttar Pradesh
465,Sant Kabir Nagar,Sharad Tripathi,शरद त्रिपाठी,Bharatiya Janata Party,,,Uttar Pradesh
466,Maharajganj,Pankaj Chaudhary,पंकज चौधरी,Bharatiya Janata Party,,,Uttar Pradesh
467.1,Gorakhpur,Yogi Adityanath,योगी आदित्यनाथ,Bharatiya Janata Party,,,Uttar Pradesh
467.2,Gorakhpur,Praveen Kumar Nishad,प्रवीण कुमार निषाद,Samajwadi Party,,,Uttar Pradesh
468,Kushi Nagar,Rajesh Pandey,राजेश पांडे,Bharatiya Janata Party,,,Uttar Pradesh
469,Deoria,Kalraj Mishra,कलराज मिश्रा,Bharatiya Janata Party,,,Uttar Pradesh
470,Bansgaon,Kamlesh Paswan,कमलेश पासवान,Bharatiya Janata Party,,,Uttar Pradesh
471,Lalganj,Neelam Sonkar,नीलम सोंकर,Bharatiya Janata Party,,,Uttar Pradesh
472,Azamgarh,Mulayam Singh Yadav,मुलायम सिंह यादव,Samajwadi Party,,,Uttar Pradesh
473,Ghosi,Harinarayan Rajbhar,हरिनारायण राजभर,Bharatiya Janata Party,,,Uttar Pradesh
474,Salempur,Ravindra Kushawaha,रवींद्र कुशवाहा,Bharatiya Janata Party,,,Uttar Pradesh
475,Ballia,Bharat Singh,भरत सिंह,Bharatiya Janata Party,,,Uttar Pradesh
476,Jaunpur,Krishna Pratap,कृष्ण प्रताप,Bharatiya Janata Party,,,Uttar Pradesh
477,Machhlishahr,Ram Charitra Nishad,राम चरित्र निषाद,Bharatiya Janata Party,,,Uttar Pradesh
478,Ghazipur,Manoj Sinha,मनोज सिन्हा,Bharatiya Janata Party,,,Uttar Pradesh
479,Chandauli,Mahendra Nath Pandey,महेंद्र नाथ पांडे,Bharatiya Janata Party,,,Uttar Pradesh
480,Varanasi,Narendra Modi,नरेंद्र मोदी,Bharatiya Janata Party,,,Uttar Pradesh
481,Bhadohi,Virendra Singh Mast,वीरेंद्र सिंह मस्त,Bharatiya Janata Party,,,Uttar Pradesh
482,Mirzapur,Anupriya Singh Patel,अनुप्रिया सिंह पटेल,Apna Dal,,,Uttar Pradesh
483,Robertsganj,Chhotelal,छोटेलाल,Bharatiya Janata Party,,,Uttar Pradesh
484,Tehri Garhwal,Mala Rajya Laxmi Shah,माला राज्य लक्ष्मी शाह,Bharatiya Janata Party,,,Uttarakhand
485,Garhwal,B. C. Khanduri,बी॰ सी॰ खंडूरी,Bharatiya Janata Party,,,Uttarakhand
486,Almora,Ajay Tamta,अजय तम्ता,Bharatiya Janata Party,,,Uttarakhand
487,Nainital–Udhamsingh Nagar,Bhagat Singh Koshyari,भगत सिंह कोश्यारी,Bharatiya Janata Party,,,Uttarakhand
488,Haridwar,Ramesh Pokhriyal,रमेश पोखरियाल,Bharatiya Janata Party,,,Uttarakhand
489.1,Cooch Behar,Renuka Sinha,रेणुका सिन्हा,Trinamool Congress,,,West Bengal
489.2,Cooch Behar,Partha Pratim Roy ,पार्थ प्रतिम राय,Trinamool Congress,,,West Bengal
490,Alipurduars,Dasrath Tirkey,दसरथ तिर्की,Trinamool Congress,,,West Bengal
491,Jalpaiguri,Bijoy Chandra Barman,बिजॉय चंद्र बर्मन,Trinamool Congress,,,West Bengal
492,Darjeeling,S. S. Ahluwalia,एस॰ एस॰ अहलुवालिया,Bharatiya Janata Party,,,West Bengal
493,Raiganj,Mohammed Salim,मोहम्मद सलीम,Communist Party of India (Marxist),,,West Bengal
494,Balurghat,Arpita Ghosh,अर्पिता घोष,Trinamool Congress,,,West Bengal
495,Maldaha Uttar,Mausam Noor,मौसम नूर,Indian National Congress,,,West Bengal
496,Maldaha Dakshin,Abu Hasem Khan Choudhury,अबू हासेम खान चौधरी,Indian National Congress,,,West Bengal
497,Jangipur,Abhijit Mukherjee,अभिजीत मुखर्जी,Indian National Congress,,,West Bengal
498,Baharampur,Adhir Ranjan Chowdhury,अधीर रंजन चौधरी,Indian National Congress,,,West Bengal
499,Murshidabad,Badaruddoza Khan,बदरुद्दोजा खान,Communist Party of India (Marxist),,,West Bengal
500,Krishnanagar,Tapas Paul,तापस पॉल,Trinamool Congress,,,West Bengal
501,Ranaghat,Tapas Mandal,तापस मंडल,Trinamool Congress,,,West Bengal
502.1,Bangaon,Kapil Krishna Thakur ,कपिल कृष्णा ठाकुर,Trinamool Congress,,,West Bengal
502.2,Bangaon,Mamata Thakur,ममता ठाकुर,Trinamool Congress,,,West Bengal
503,Barrackpore,Dinesh Trivedi,दिनेश त्रिवेदी,Trinamool Congress,,,West Bengal
504,Dum Dum,Saugata Roy,सौगत रॉय,Trinamool Congress,,,West Bengal
505,Barasat,Kakali Ghosh Dastidar,काकली घोष दस्तीदार,Trinamool Congress,,,West Bengal
506,Basirhat,Idris Ali,इदरीस अली,Trinamool Congress,,,West Bengal
507,Jaynagar,Pratima Mondal,प्रतिमा मंडल,Trinamool Congress,,,West Bengal
508,Mathurapur,Choudhury Mohan Jatua,चौधरी मोहन जतुआ,Trinamool Congress,,,West Bengal
509,Diamond Harbour,Abhishek Banerjee,अभिषेक बनर्जी,Trinamool Congress,,,West Bengal
510,Jadavpur,Sugata Bose,सुगत बोस,Trinamool Congress,,,West Bengal
511,Kolkata Dakshin,Subrata Bakshi,सुब्रत बक्शी,Trinamool Congress,,,West Bengal
512,Kolkata Uttar,Sudip Bandyopadhyay,सुदीप बंद्योपाध्याय,Trinamool Congress,,,West Bengal
513,Howrah,Prasun Banerjee,प्रसून बनर्जी,Trinamool Congress,,,West Bengal
514.1,Uluberia,Sultan Ahmed ,सुल्तान अहमद,Trinamool Congress,,,West Bengal
514.2,Uluberia,Sajda Ahmed,सजदा अहमद,Trinamool Congress,,,West Bengal
515,Serampore,Kalyan Banerjee,कल्याण बनर्जी,Trinamool Congress,,,West Bengal
516,Hooghly,Ratna De (Nag),रत्ना दे (नाग),Trinamool Congress,,,West Bengal
517,Arambagh,Afrin Ali,अफरीन अली,Trinamool Congress,,,West Bengal
518.1,Tamluk,Suvendu Adhikari ,सुवेंदु अधिकारी,Trinamool Congress,,,West Bengal
518.2,Tamluk,Dibyendu Adhikari ,दिव्येन्दु अधिकारी,Trinamool Congress,,,West Bengal
519,Kanthi,Sisir Adhikari,शिशिर अधिकारी,Trinamool Congress,,,West Bengal
520,Ghatal,Deepak Adhikari (Dev),दीपक अधिकारी (देव),Trinamool Congress,,,West Bengal
521,Jhargram,Uma Saren,उमा सरेन,Trinamool Congress,,,West Bengal
522,Medinipur,Sandhya Roy,संध्या रॉय,Trinamool Congress,,,West Bengal
523,Purulia,Mriganka Mahato,मृगांका महतो,Trinamool Congress,,,West Bengal
524,Bankura,Moon Moon Sen,मून मून सेन,Trinamool Congress,,,West Bengal
525,Bishnupur,Saumitra Khan,सौमित्र खान,Trinamool Congress,,,West Bengal
526,Bardhaman Purba,Sunil Kumar Mandal,सुनील कुमार मंडल,Trinamool Congress,,,West Bengal
527,Burdwan–Durgapur,Mamtaz Sanghamita,ममताज संघमित्रा,Trinamool Congress,,,West Bengal
528,Asansol,Babul Supriyo,बाबुल सुप्रियो,Bharatiya Janata Party,,,West Bengal
529,Bolpur,Anupam Hazra,अनुपम हजरा,Trinamool Congress,,,West Bengal
530,Birbhum,Satabdi Roy,शतब्दी रॉय,Trinamool Congress,,,West Bengal
531,Andaman and Nicobar Islands,Bishnu Pada Ray,बिष्णु पद राय,Bharatiya Janata Party,,,Andaman and Nicobar Islands
532,Chandigarh,Kirron Kher,किरण खेर,Bharatiya Janata Party,,,Chandigarh
533,Dadra and Nagar Haveli,Natubhai Gomanbhai Patel,नटुभाई गोमनभाई पटेल,Bharatiya Janata Party,,,Dadra and Nagar Haveli
534,Daman and Diu,Lalubhai Patel,लालुभाई पटेल,Bharatiya Janata Party,,,Daman and Diu
535,Chandni Chowk,Harsh Vardhan,हर्षवर्धन,Bharatiya Janata Party,,,National Capital Territory of Delhi
536,North East Delhi,Manoj Tiwari,मनोज तिवारी,Bharatiya Janata Party,,,National Capital Territory of Delhi
537,East Delhi,Maheish Girri,महेश गिरी,Bharatiya Janata Party,,,National Capital Territory of Delhi
538,New Delhi,Meenakshi Lekhi,मीनाक्षी लेखी,Bharatiya Janata Party,,,National Capital Territory of Delhi
539,North West Delhi,Udit Raj,उदित राज,Bharatiya Janata Party,,,National Capital Territory of Delhi
540,West Delhi,Parvesh Verma,परवेश वर्मा,Bharatiya Janata Party,,,National Capital Territory of Delhi
541,South Delhi,Ramesh Bidhuri,रमेश बिधुड़ी,Bharatiya Janata Party,,,National Capital Territory of Delhi
542,Lakshadweep,Mohammed Faizal P. P.,मोहम्मद फैजल पी॰ पी॰,Nationalist Congress Party,,,Lakshadweep
543,Puducherry,R. Radhakrishnan,आर॰ राधाकृष्णन,All India N.R. Congress,,,Puducherry
544,Anglo-Indian Community,George Baker,जॉर्ज बेकर,Bharatiya Janata Party,,,Nominated
