Minister,(Hindi Names),Took_Office,Left_Office,Party
Narayan Rane,नारायण राणे,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Mansukh Mandaviya,मनसुख मांडविया,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Nirmala Sitharaman,निर्मला सीतारामन्,31-May-19,09-Jun-24,Bharatiya Janata Party
Ram Vilas Paswan,रामविलास पासवान,31-May-19,08-Oct-20,Rashtriya Lok Janshakti Party
Piyush Goyal,पीयूष गोयल,09-Oct-20,09-Jun-24,Bharatiya Janata Party
Ashwini Vaishnaw,अश्विनी वैष्णव,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Thawar Chand Gehlot,थावरचंद गहलोत,31-May-19,06-Jul-21,Bharatiya Janata Party
Virendra Kumar Khatik,वीरेंद्र कुमार खटीक,07-Jul-21,09-Jun-24,Bharatiya Janata Party
S. Jaishankar,सुब्रह्मण्यम जयशंकर,31-May-19,09-Jun-24,Bharatiya Janata Party
Dharmendra Pradhan,धर्मेंद्र प्रधान,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Prakash Javadekar,प्रकाश जावड़ेकर,31-May-19,07-Jul-21,Bharatiya Janata Party
Bhupender Yadav,भूपेंद्र यादव,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Anurag Singh Thakur,अनुराग ठाकुर,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Hardeep Singh Puri,हरदीप सिंह पुरी,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Ramchandra Prasad Singh,रामचंद्र प्रसाद सिंह,07-Jul-21,06-Jul-22,Janata Dal (United)
Jyotiraditya Scindia,ज्योतिरादित्य सिंधिया,06-Jul-22,09-Jun-24,Bharatiya Janata Party
Mukhtar Abbas Naqvi,मुख्तार अब्बास नकवी,31-May-19,06-Jul-22,Bharatiya Janata Party
Parshottam Rupala,पुरुषोत्तम रूपाला,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Santosh Kumar Gangwar,संतोष गंगवार,31-May-19,07-Jul-21,Bharatiya Janata Party
Sarbananda Sonowal,सर्बानन्द सोणोवाल,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Rajeev Chandrasekhar,राजीव चन्द्रशेखर,07-Dec-23,09-Jun-24,Bharatiya Janata Party
Ramdas Athawale,रामदास आठवले,31-May-19,09-Jun-24,Republican Party Of India (A)
Sanjeev Balyan,संजीव बाल्यन,31-May-19,09-Jun-24,Bharatiya Janata Party
L. Murugan,एल. मुरुगन,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Ajay Mishra Teni,अजय मिश्रा टेनी,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Bhagwat Karad,भागवत कराड,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Anupriya Singh Patel,अनुप्रिया सिंह पटेल,07-Jul-21,09-Jun-24,Apna Dal (Sonelal)
Renuka Singh Saruta,रेणुका सिंह सरुता,31-May-19,07-Dec-23,Bharatiya Janata Party
Annpurna Devi,अन्नपूर्णा देवी,07-Jul-21,09-Jun-24,Bharatiya Janata Party
Devusinh Chauhan,देवसिंह चौहान,07-Jul-21,09-Jun-24,Bharatiya Janata Party
S. P. Singh Baghel,एस० पी० सिंह बघेल,18-May-23,09-Jun-24,Bharatiya Janata Party
B. L. Verma,बनवारी लाल वर्मा,07-Jul-21,09-Jun-24,Bharatiya Janata Party

