Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,State
25,Rajahmundry,Aruna Kumar Vundavalli,अरुणा कुमार वुंडावल्ली,Indian National Congress,,,Andhra Pradesh
26,Narasapuram,Kanumuri Bapiraju,बापीराजू कानुमुरु,Indian National Congress,,,Andhra Pradesh
27,Eluru,Kavuri Sambasiva Rao,कावरी संभाशिवा राव,Indian National Congress,,,Andhra Pradesh
28,Machilipatnam,Konakalla Narayana Rao,के. नारायण राव,Indian National Congress,,,Andhra Pradesh
29,Vijayawada,Lagadapati Rajagopal,एल. राजागोपाल,Indian National Congress,,,Andhra Pradesh
30,Guntur,Sambasiva Rayapati Rao,रायापति संबाशिवा राव,Indian National Congress,,,Andhra Pradesh
31,Narasaraopet,Modugula Venugopala Reddy,बालाशौरी वल्लभानेनी,Telugu Desam Party,,,Andhra Pradesh
32,Bapatla,Panabaka Lakshmi,पनाबाका लक्ष्मी,Indian National Congress,,,Andhra Pradesh
33,Ongole,Magunta Sreenivasulu Reddy,मगुनता एस. रेड्डी,Indian National Congress,,,Andhra Pradesh
34,Nandyal,S. P. Y. Reddy,एस. पी. रेड्डी,Indian National Congress,,,Andhra Pradesh
35,Kurnool,Kotla Jayasurya Prakasha Reddy,कोटला सूर्य प्रकाश रेड्डी,Indian National Congress,,,Andhra Pradesh
36,Anantapur,Anantha Venkatarami Reddy,अनंत वी रेड्डी,Indian National Congress,,,Andhra Pradesh
37,Hindupur,Kristappa Nimmala,क्रिस्टप्पा निमाला,Telugu Desam Party,,,Andhra Pradesh
38,Kadapa,Y. S. Jagan Mohan Reddy,वाइ. एस. जगन मोहन रेड्डी‎,Indian National Congress,13-05-2011,YSR Congress Party,Andhra Pradesh
39,Nellore,Mekapati Rajamohan Reddy,एम. राजामोहन रेड्डी‎,Indian National Congress,15-06-2012,YSR Congress Party,Andhra Pradesh
40,Tirupati,Chinta Mohan,चिंता मोहन‎,Indian National Congress,,,Andhra Pradesh
41,Rajampet,Sai Prathap Annayyagari,ए. एस प्रताप,Indian National Congress,,,Andhra Pradesh
42,Chittoor,Naramalli Sivaprasad,नारामल्लाई शिवप्रसाद,Telugu Desam Party,,,Andhra Pradesh
43,Arunachal East,Ninong Ering,निनोंग ईरिंग,Indian National Congress,,,Arunachal Pradesh
44,Arunachal West,Takam Sanjoy,तकाम संजय,Indian National Congress,,,Arunachal Pradesh
45,Karimganj,Lalit Mohan Suklabaidya,ललित मोहन सुक्लबैद्य,Indian National Congress,,,Assam
46,Silchar,Kabindra Purkayastha,कविन्द्र पुरकायस्थ,Bharatiya Janata Party,,,Assam
47,Autonomous District,Biren Singh Engti,बीरेन सिंह एंगती,Indian National Congress,,,Assam
48,Dhubri,Badruddin Ajmal,बदरुद्दीन अजमल,All India United Democratic Front,,,Assam
49,Kokrajhar,Sansuma Khunggur Bwiswmuthiary,संसुमा खुंगुर विश्वमुथिअरी,Bodoland People's Front,,,Assam
50,Barpeta,Ismail Hussain,इस्माइल हुसैन,Indian National Congress,,,Assam
51,Gauhati,Bijoya Chakravarty,विजय चक्रवर्ती,Bharatiya Janata Party,,,Assam
52,Mangaldoi,Ramen Deka,रामेन डेका,Bharatiya Janata Party,,,Assam
53,Tezpur,Joseph Toppo,जोसेफ टोपो,Asom Gana Parishad,,,Assam
54,Nowgong,Rajen Gohain,राजेन गोहेन,Bharatiya Janata Party,,,Assam
55,Kaliabor,Dip Gogoi,दीप गोगोई,Indian National Congress,,,Assam
56,Jorhat,Bijoy Krishna Handique,विजय कृष्ण हांडिक,Indian National Congress,,,Assam
57,Dibrugarh,Paban Singh Ghatowar,पवन सिंह घोटवार,Indian National Congress,,,Assam
58,Lakhimpur,Ranee Narah,रानी नरह,Indian National Congress,,,Assam
59,Valmiki Nagar,Baidyanath Prasad Mahto,वैद्यनाथ प्रसाद महतो,Janata Dal,,,Bihar
60,Paschim Champaran,Sanjay Jaiswal,संजय जयसवाल,Bharatiya Janata Party,,,Bihar
61,Purvi Champaran,Radha Mohan Singh,राधा मोहन सिंह,Bharatiya Janata Party,,,Bihar
62,Sheohar,Rama Devi,रमा देवी,Bharatiya Janata Party,,,Bihar
63,Sitamarhi,Arjun Roy,अर्जुन राय,Janata Dal,,,Bihar
64,Madhubani,Hukmdev Narayan Yadav,हुकुमदेव नारायण यादव,Bharatiya Janata Party,,,Bihar
65,Jhanjharpur,Mangani Lal Mandal,मंगनी लाल मंडल,Janata Dal,,,Bihar
66,Supaul,Vishwa Mohan Kumar,विश्व मोहन कुमार,Janata Dal,,,Bihar
67,Araria,Pradeep Kumar Singh,प्रदीप कुमार सिंह,Bharatiya Janata Party,,,Bihar
68,Kishanganj,Mohammad Asrarul Haque,मुहम्मद असरारुल हक़,Indian National Congress,,,Bihar
69,Katihar,Nikhil Kumar Choudhary,निखिल कुमार चौधरी,Bharatiya Janata Party,,,Bihar
70,Purnia,Uday Singh,उदय सिंह,Bharatiya Janata Party,,,Bihar
71,Madhepura,Sharad Yadav,शरद यादव,Janata Dal,,,Bihar
72,Darbhanga,Kirti Azad,कीर्ति आज़ाद,Bharatiya Janata Party,,,Bihar
73,Muzaffarpur,Jai Narain Prasad Nishad,जय नारायण प्रसाद निषाद,Janata Dal,,,Bihar
74,Vaishali,Raghuvansh Prasad Singh,रघुवंश प्रसाद सिंह,Rashtriya Janata Dal,,,Bihar
75,Gopalganj,Purnmasi Ram,पूर्णमासी राम,Janata Dal,,,Bihar
76,Siwan,Om Prakash Yadav,ओम प्रकाश यादव,Independent,,,Bihar
77.1,Maharajganj,Uma Shankar Singh,उमाशंकर सिंह,Rashtriya Janata Dal,,,Bihar
77.2,Maharajganj,Prabhunath Singh,प्रभुनाथ सिंह,Rashtriya Janata Dal,,,Bihar
78,Saran,Lalu Prasad Yadav,लालू प्रसाद यादव,Rashtriya Janata Dal,,,Bihar
79,Hajipur,Ram Sundar Das,राम सुन्दर दास,Janata Dal,,,Bihar
80,Ujiarpur,Aswamedh Devi,अस्वमेध देवी,Janata Dal,,,Bihar
81,Samastipur,Maheshwar Hazari,महेश्वर हजारी,Janata Dal,,,Bihar
82,Begusarai,Monazir Hassan,मोनाजिर हसन,Janata Dal,,,Bihar
83,Khagaria,Dinesh Chandra Yadav,दिनेश चंद्र यादव,Janata Dal,,,Bihar
84,Bhagalpur,Syed Shahnawaz Hussain,सैयद शहनवाज हुसैन,Bharatiya Janata Party,,,Bihar
85.1,Banka,Digvijay Singh,पुतुल कुमारी,Independent,,,Bihar
85.2,Banka,Putul Kumari,राजीव रंजन सिंह,Independent,,,Bihar
86,Munger,Rajiv Ranjan Singh alias Lalan Singh,कौशलेन्द्र कुमार,Janata Dal,,,Bihar
87,Nalanda,Kaushalendra Kumar,शत्रुघ्न सिन्हा,Janata Dal,,,Bihar
88,Patna Sahib,Shatrughan Sinha,रंजन प्रसाद यादव,Bharatiya Janata Party,,,Bihar
89,Pataliputra,Ranjan Prasad Yadav,मीना सिंह,Janata Dal,,,Bihar
90,Arrah,Meena Singh,जगदानंद सिंह,Janata Dal,,,Bihar
91,Buxar,Jagada Nand Singh,मीरा कुमार,Rashtriya Janata Dal,,,Bihar
92,Sasaram,Meira Kumar,महाबली सिंह,Indian National Congress,,,Bihar
93,Karakat,Mahabali Singh,मीरा कुमार,Janata Dal,,,Bihar
94,Jahanabad,Jagdish Sharma,महाबली सिंह,Janata Dal,,,Bihar
95,Aurangabad,Sushil Kumar Singh,सुशील कुमार सिंह,Janata Dal,,,Bihar
96,Gaya,Hari Manjhi,हरी मांझी,Bharatiya Janata Party,,,Bihar
97,Nawada,Bhola Singh,भोला सिंह,Bharatiya Janata Party,,,Bihar
98,Jamui,Bhudeo Choudhary,भूदेव चौधरी,Janata Dal,,,Bihar
99,Sarguja,Murarilal Singh,मुरारीलाल सिंह,Bharatiya Janata Party,,,Chhattisgarh
100,Raigarh,Vishnu Deo Sai,विष्णु देव साई,Bharatiya Janata Party,,,Chhattisgarh
101,Janjgir-Champa,Kamla Devi Patle,कमला देवी पटले,Bharatiya Janata Party,,,Chhattisgarh
102,Korba,Charan Das Mahant,चरण दास महन्त,Indian National Congress,,,Chhattisgarh
103,Bilaspur,Dilip Singh Judeo,दिलीप सिंह जूदेव,Bharatiya Janata Party,,,Chhattisgarh
104,Rajnandgaon,Madhusudan Yadav,मधुसूदन यादव,Bharatiya Janata Party,,,Chhattisgarh
105,Durg,Saroj Pandey,सरोज पाण्डेय,Bharatiya Janata Party,,,Chhattisgarh
106,Raipur,Ramesh Bais,रमेश बैस,Bharatiya Janata Party,,,Chhattisgarh
107,Mahasamund,Chandulal Sahu,चंदूलाल साहू,Bharatiya Janata Party,,,Chhattisgarh
108.1,Bastar,Baliram Kashyap,बलीराम कश्यप,Bharatiya Janata Party,,,Chhattisgarh
108.2,Bastar,Dinesh Kashyap,दिनेश कश्यप,Bharatiya Janata Party,,,Chhattisgarh
109,Kanker,Sohan Potai,सोहन पोताई,Bharatiya Janata Party,,,Chhattisgarh
110,North Goa,Shripad Yesso Naik,श्रीपाद येसो नाइक,Bharatiya Janata Party,,,Goa
111,South Goa,Francisco Sardinha,फ्रांसिस्को सरदिन्हा,Indian National Congress,,,Goa
112,Kachchh,Poonamben Veljibhai Jat,जाट पूनमबेन वेल्जीभाई,Bharatiya Janata Party,,,Gujurat
113.1,Banaskantha,Mukesh Gadhvi,हरिभाई चौधरी,Indian National Congress,,,Gujurat
113.2,Banaskantha,Haribhai Parthibhai Chaudhary,हरिभाई पार्थिभाई चौधरी,Bharatiya Janata Party,,,Gujurat
114,Patan,Jagdish Thakor,जगदीश ठाकुर,Indian National Congress,,,Gujurat
115,Mahesana,Jayshreeben Patel,पटेल जयश्रीबेन कनुभाई,Bharatiya Janata Party,,,Gujurat
116,Sabarkantha,Mahendrasinh Chauhan,चौहान महेन्द्रसिंह,Bharatiya Janata Party,,,Gujurat
117,Gandhinagar,L. K. Advani,लालकृष्ण आडवाणी,Bharatiya Janata Party,,,Gujurat
118,Ahmedabad East,Harin Pathak,हरीन पाठक,Bharatiya Janata Party,,,Gujurat
119,Ahmedabad West,Kirit Premjibhai Solanki,किरीट प्रेमजीभाई सोलंकी,Bharatiya Janata Party,,,Gujurat
120,Surendranagar,Somabhai Gandalal Koli Patel,कोली पटेल सोमनभाई गन्दालाल,Indian National Congress,,,Gujurat
121,Rajkot,Kunwarjibhai Mohanbhai Bavaliya,कुंवरजीभाई मोहनलाल बावरिया,Indian National Congress,,,Gujurat
122,Porbandar,Vitthal Radadiya,विट्ठलभाई रादरिया,Indian National Congress,05-06-2013,Bharatiya Janata Party,Gujurat
123,Jamnagar,Vikrambhai Arjanbhai Madam,अहीर विक्रमभाई अर्जनभाई मदाम,Indian National Congress,,,Gujurat
124,Junagadh,Dinu Solanki,दिनुभाई सोलंकी,Bharatiya Janata Party,,,Gujurat
125,Amreli,Naranbhai Kachhadia,कछाड़िया नारनभाई भीखाभाई,Bharatiya Janata Party,,,Gujurat
126,Bhavnagar,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),राजेन्द्रसिंह घनश्यामसिंह राणा,Bharatiya Janata Party,,,Gujurat
127,Anand,Bharatsinh Solanki,माधवसिंह सोलंकी,Indian National Congress,,,Gujurat
128,Kheda,Dinsha Patel,दिनशा पटेल,Indian National Congress,,,Gujurat
129,Panchmahal,Prabhatsinh Pratapsinh Chauhan,प्रभातसिंह चौहान,Bharatiya Janata Party,,,Gujurat
130,Dahod,Prabha Kishor Taviad,प्रभा किशोर तवियाड,Indian National Congress,,,Gujurat
131,Vadodara,Balkrishna Khanderao Shukla,बालकृष्ण शुक्ला,Bharatiya Janata Party,,,Gujurat
132,Chhota Udaipur,Ramsinh Rathwa,रामसिंहभाई राठवा,Bharatiya Janata Party,,,Gujurat
133,Bharuch,Mansukhbhai Vasava,मनसुखभाई वसावा,Bharatiya Janata Party,,,Gujurat
134,Bardoli,Tushar Amarsinh Chaudhary,तुषारभाई चौधरी,Indian National Congress,,,Gujurat
135,Surat,Darshana Jardosh,दर्शना जरदोश,Bharatiya Janata Party,,,Gujurat
136,Navsari,C. R. Patil,सी आर पाटिल,Bharatiya Janata Party,,,Gujurat
137,Valsad,Kishanbhai Vestabhai Patel,किशनभाई पटेल,Indian National Congress,,,Gujurat
138,Ambala,Kumari Selja,कुमारी सेलजा,Indian National Congress,,,Haryana
139,Kurukshetra,Naveen Jindal,नवीन जिंदल,Indian National Congress,,,Haryana
140,Sirsa,Ashok Tanwar,अशोक तंवर,Indian National Congress,,,Haryana
141.1,Hisar,Bhajan Lal,भजन लाल,Haryana Janhit Congress,,,Haryana
141.2,Hisar,Kuldeep Bishnoi,कुलदीप बिश्नोई,Haryana Janhit Congress,,,Haryana
142,Karnal,Arvind Kumar Sharma,अरविन्द कुमार शर्मा,Indian National Congress,,,Haryana
143,Sonipat,Jitender Singh Malik,जीतेन्दर सिंह मलिक,Indian National Congress,,,Haryana
144,Rohtak,Deepender Singh Hooda,दीपेंद्र हुड्डा,Indian National Congress,,,Haryana
145,Bhiwani-Mahendragarh,Shruti Choudhry,श्रुति चौधरी,Indian National Congress,,,Haryana
146,Gurgaon,Inderjit Singh Rao,इन्द्रजीत सिंह,Indian National Congress,,,Haryana
147,Faridabad,Avtar Singh Bhadana,अवतार सिंह भड़ाना,Indian National Congress,,,Haryana
148,Kangra,Rajan Sushant,राजन सुशांत,Bharatiya Janata Party,,,Himachal Pradesh
149.1,Mandi,Virbhadra Singh,वीरभद्र सिंह,Indian National Congress,,,Himachal Pradesh
149.2,Mandi,Pratibha Singh,प्रतिभा सिंह,Indian National Congress,,,Himachal Pradesh
150,Hamirpur,Anurag Singh Thakur,अनुराग ठाकुर,Bharatiya Janata Party,,,Himachal Pradesh
151,Shimla,Virender Kashyap,वीरेंद्र कश्यप,Bharatiya Janata Party,,,Himachal Pradesh
152,Baramulla,Sharifuddin Shariq,शरीफउद्दीन शरीक,Jammu & Kashmir National Conference,,,Jammu and Kashmir
153,Srinagar,Farooq Abdullah,फारूक अब्दुल्ला,Jammu & Kashmir National Conference,,,Jammu and Kashmir
154,Anantnag,Mirza Mehboob Beg,मिर्ज़ा महबूब बेग,Jammu & Kashmir National Conference,,,Jammu and Kashmir
155,Ladakh,Hassan Khan,हसन खान,Independent,,,Jammu and Kashmir
156,Udhampur,Ch. Lal Singh,चौधरी लाल सिंह,Indian National Congress,,,Jammu and Kashmir
157,Jammu,Madan Lal Sharma,मदन लाल शर्मा,Indian National Congress,,,Jammu and Kashmir
158,Rajmahal,Devidhan Besra,देवीधन बेसरा,Bharatiya Janata Party,,,Jharkhand
159,Dumka,Shibu Soren,शिबू सोरेन,Jharkhand Mukti Morcha,,,Jharkhand
160,Godda,Nishikant Dubey,निशिकांत दुबे,Bharatiya Janata Party,,,Jharkhand
161,Chatra,Inder Singh Namdhari,इन्दर सिंह नामधारी,Independent,,,Jharkhand
162,Kodarma,Babulal Marandi,बाबूलाल मरांडी,Jharkhand Vikas Morcha,,,Jharkhand
163,Giridih,Ravindra Kumar Pandey,रविन्द्र कुमार पाण्डेय,Bharatiya Janata Party,,,Jharkhand
164,Dhanbad,Pashupati Nath Singh,पशुपतिनाथ सिंह,Bharatiya Janata Party,,,Jharkhand
165,Ranchi,Subodh Kant Sahay,सुबोधकान्त सहाय,Indian National Congress,,,Jharkhand
166.1,Jamshedpur,Arjun Munda,अर्जुन मुंडा,Bharatiya Janata Party,,,Jharkhand
166.2,Jamshedpur,Ajoy Kumar,अजय कुमार,Jharkhand Vikas Morcha,,,Jharkhand
167,Singhbhum,Madhu Koda,मधु कोड़ा,Independent,,,Jharkhand
168,Khunti,Karia Munda,करिया मुंडा,Bharatiya Janata Party,,,Jharkhand
169,Lohardaga,Sudarshan Bhagat,सुदर्शन भगत,Bharatiya Janata Party,,,Jharkhand
170,Palamau,Kameshwar Baitha,कामेश्वर बैठा,Jharkhand Mukti Morcha,,,Jharkhand
171,Hazaribagh,Yashwant Sinha,यशवंत सिन्हा,Bharatiya Janata Party,,,Jharkhand
172,Chikkodi,Ramesh Vishwanath Katti,वी.रमेश कट्टी,Bharatiya Janata Party,,,Karnataka
173,Belgaum,Suresh Angadi,अंगदि सुरेश चन्नाबसप्पा,Bharatiya Janata Party,,,Karnataka
174,Bagalkot,P. C. Gaddigoudar,पी॰सी॰ गड्डीगौडर,Bharatiya Janata Party,,,Karnataka
175,Bijapur,Ramesh Jigajinagi,रमेश चंदप्पा जिगाजिनगी,Bharatiya Janata Party,,,Karnataka
176,Gulbarga,Mallikarjun Kharge,मल्लिकार्जुन खड़गे,Indian National Congress,,,Karnataka
177,Raichur,Sanna Pakirappa,पक्कीरप्पा एस.,Bharatiya Janata Party,,,Karnataka
178,Bidar,Dharam Singh,एन. धरम सिंह,Indian National Congress,,,Karnataka
179,Koppal,Shivaramagouda Shivanagouda,शिवरामगौड़ा शिवनगौड़ा,Bharatiya Janata Party,,,Karnataka
180,Bellary,J. Shantha,जे. शांता,Bharatiya Janata Party,,,Karnataka
181,Haveri,Shivkumar Chanabasappa Udasi,यू. शिवकुमार चनबसप्पा,Bharatiya Janata Party,,,Karnataka
182,Dharwad,Pralhad Joshi,प्रह्लाद जोशी,Bharatiya Janata Party,,,Karnataka
183,Uttara Kannada,Anant Kumar Hegde,अनंत कुमार हेगड़े,Bharatiya Janata Party,,,Karnataka
184,Davanagere,G. M. Siddeshwara,जी॰एम॰ सिद्धेश्वर,Bharatiya Janata Party,,,Karnataka
185,Shimoga,B. Y. Raghavendra,बी. वाई. राघवेंद्र,Bharatiya Janata Party,,,Karnataka
186.1,Udupi Chikmagalur,D. V. Sadananda Gowda,डी. वी. सदानंद गौड़ा,Bharatiya Janata Party,,,Karnataka
186.2,Udupi Chikmagalur,K. Jayaprakash Hegde,के. जयप्रकाश हेगड़े,Indian National Congress,,,Karnataka
187,Hassan,H. D. Deve Gowda,ऍच॰ डी॰ देवगौड़ा,Janata Dal,,,Karnataka
188,Dakshina Kannada,Nalin Kumar Kateel,नलिन कुमार कटील,Bharatiya Janata Party,,,Karnataka
189,Chitradurga,Janardhana Swamy,जनार्दन स्वामी,Bharatiya Janata Party,,,Karnataka
190,Tumkur,G. S. Basavaraj,जी. एस. बासवराजू,Bharatiya Janata Party,,,Karnataka
191.1,Mandya,N. Chaluvaraya Swamy,एन. चलुवराय स्वामी,Janata Dal,,,Karnataka
191.2,Mandya,Ramya Divya Spandana,दिव्या स्पन्दा उर्फ रमैया,Indian National Congress,,,Karnataka
192,Mysore,Adagur H. Vishwanath,ए. एच. विश्वनाथ,Indian National Congress,,,Karnataka
193,Chamarajanagar,R. Dhruvanarayana,आर॰ ध्रुवनारायणराव,Indian National Congress,,,Karnataka
194.1,Bangalore Rural,H. D. Kumaraswamy,एच. डी. कुमारस्वामी,Janata Dal,,,Karnataka
194.2,Bangalore Rural,D..K. Suresh,डी॰के॰ सुरेश,Indian National Congress,,,Karnataka
195,Bangalore North,D. B. Chandre Gowda,डी. बी. चंद्रेगौड़ा,Bharatiya Janata Party,,,Karnataka
196,Bangalore Central,P. C. Mohan,पी॰सी॰ मोहन,Bharatiya Janata Party,,,Karnataka
197,Bangalore South,Ananth Kumar,अनंत कुमार,Bharatiya Janata Party,,,Karnataka
198,Chikballapur,Veerappa Moily,एम॰ वीरप्पा मोइली,Indian National Congress,,,Karnataka
199,Kolar,K. H. Muniyappa,के॰एच॰ मुनियप्पा,Indian National Congress,,,Karnataka
200,Kasaragod,P. Karunakaran,पी॰ करुणाकरण,Communist Party of India,,,Kerala
201,Kannur,K. Sudhakaran,के सुधाकरण,Indian National Congress,,,Kerala
202,Vatakara,Mullappally Ramachandran,मुल्लापल्ली रामचंद्रन,Indian National Congress,,,Kerala
203,Wayanad,M. I. Shanavas,एम॰आई॰ शानवास,Indian National Congress,,,Kerala
204,Kozhikode,M. K. Raghavan,एम॰के॰ राघवन,Indian National Congress,,,Kerala
205,Malappuram,E. Ahamed,ई अहमद,Indian Union Muslim League,,,Kerala
206,Ponnani,E. T. Muhammed Basheer,इ॰टी॰ मुहम्मद बशीर,Indian Union Muslim League,,,Kerala
207,Palakkad,M. B. Rajesh,एम॰बी॰ राजेश,Communist Party of India,,,Kerala
208,Alathur,P. K. Biju,पी॰के॰ बीजू,Communist Party of India,,,Kerala
209,Thrissur,P. C. Chacko,पी सी चाको,Indian National Congress,,,Kerala
210,Chalakudy,K. P. Dhanapalan,के पी धनप्पन,Indian National Congress,,,Kerala
211,Ernakulam,K. V. Thomas,के॰वी॰ थॉमस,Indian National Congress,,,Kerala
212,Idukki,P. T. Thomas,पी टी थॉमस,Indian National Congress,,,Kerala
213,Kottayam,Jose K. Mani,जोस के॰ मणि,Kerala Congress,,,Kerala
214,Alappuzha,K. C. Venugopal,के॰सी॰ वेणुगोपाल,Indian National Congress,,,Kerala
215,Mavelikara,Kodikkunnil Suresh,कोडिकुन्नील सुरेश,Indian National Congress,,,Kerala
216,Pathanamthitta,Anto Antony,एंटो एंटनी,Indian National Congress,,,Kerala
217,Kollam,N. Peethambara Kurup,एन पीथाम्बराकुरु,Indian National Congress,,,Kerala
218,Attingal,A. Sampath,ए॰ सम्पत्त,Communist Party of India,,,Kerala
219,Thiruvananthapuram,Shashi Tharoor,शशि थरूर,Indian National Congress,,,Kerala
220,Morena,Narendra Singh Tomar,नरेंद्र सिंह तोमर,Bharatiya Janata Party,,,Madhya Pradesh
221,Bhind,Ashok Chhaviram Argal,अशोक अर्गल,Bharatiya Janata Party,,,Madhya Pradesh
222,Gwalior,Yashodhara Raje Scindia,यशोधरा राजे सिंधिया,Bharatiya Janata Party,,,Madhya Pradesh
223,Guna,Jyotiraditya Scindia,ज्योतिरादित्य सिंधिया,Indian National Congress,,,Madhya Pradesh
224,Sagar,Bhupendra Singh,भूपेंद्र सिंह,Bharatiya Janata Party,,,Madhya Pradesh
225,Tikamgarh,Virendra Kumar Khatik,वीरेंद्र कुमार,Bharatiya Janata Party,,,Madhya Pradesh
226,Damoh,Shivraj Singh Lodhi,शिवराज सिंह लोधी,Bharatiya Janata Party,,,Madhya Pradesh
227,Khajuraho,Jeetendra Singh Bundela,जीतेंद्र सिंह बुंदेला,Bharatiya Janata Party,,,Madhya Pradesh
228,Satna,Ganesh Singh,गणेश सिंह,Bharatiya Janata Party,,,Madhya Pradesh
229,Rewa,Deoraj Singh Patel,देवराज सिंह पटेल,Bahujan Samaj Party,,,Madhya Pradesh
230,Sidhi,Govind Prasad Mishra,गोविन्द प्रसाद मिश्र,Bharatiya Janata Party,,,Madhya Pradesh
231,Shahdol,Rajesh Nandini Singh,राजेश नंदिनी सिंह,Indian National Congress,,,Madhya Pradesh
232,Jabalpur,Rakesh Singh,राकेश सिंह,Bharatiya Janata Party,,,Madhya Pradesh
233,Mandla,Basori Singh Masram,बसोरी सिंह मसराम,Indian National Congress,,,Madhya Pradesh
234,Balaghat,K. D. Deshmukh,के. डी. देशमुख,Bharatiya Janata Party,,,Madhya Pradesh
235,Chhindwara,Kamal Nath,कमलनाथ,Indian National Congress,,,Madhya Pradesh
236,Hoshangabad,Uday Pratap Singh,उदय प्रताप सिंह,Indian National Congress,,,Madhya Pradesh
237,Vidisha,Sushma Swaraj,सुषमा स्वराज,Bharatiya Janata Party,,,Madhya Pradesh
238,Bhopal,Kailash Chandra Joshi,कैलाश चंद्र जोशी,Bharatiya Janata Party,,,Madhya Pradesh
239,Rajgarh,Narayan Singh Amlabe,नारायणसिंह अम्लाबे,Indian National Congress,,,Madhya Pradesh
240,Dewas,Sajjan Singh Verma,सज्जन सिंह वर्मा,Indian National Congress,,,Madhya Pradesh
241,Ujjain,Premchand Guddu,गुड्डू प्रेमचंद्र,Indian National Congress,,,Madhya Pradesh
242,Mandsaur,Meenakshi Natarajan,मीनाक्षी नटराजन,Indian National Congress,,,Madhya Pradesh
243,Ratlam,Kantilal Bhuria,कांतिलाल भूरिया,Indian National Congress,,,Madhya Pradesh
244,Dhar,Gajendra Singh Rajukhedi,गजेन्द्र सिंह राजूखेड़ी,Indian National Congress,,,Madhya Pradesh
245,Indore,Sumitra Mahajan,सुमित्रा महाजन,Bharatiya Janata Party,,,Madhya Pradesh
246,Khargone,Makhansingh Solanki,मकनसिंह सोलंकी,Bharatiya Janata Party,,,Madhya Pradesh
247,Khandwa,Arun Subhashchandra Yadav,अरुण सुभाषचन्द्र यादव,Indian National Congress,,,Madhya Pradesh
248,Betul,Jyoti Dhurve,ज्योति धुर्वे,Bharatiya Janata Party,,,Madhya Pradesh
249,Nandurbar,Manikrao Hodlya Gavit,माणिकराव होन्डल्या गवित,Indian National Congress,,,Maharashtra
250,Dhule,Pratap Narayanrao Sonawane,प्रताप नारायणराव सोनवने,Bharatiya Janata Party,,,Maharashtra
251,Jalgaon,A. T. Patil,अशोक तापीराम पाटिल,Bharatiya Janata Party,,,Maharashtra
252,Raver,Haribhau Jawale,हरिभाऊ माधव जावले,Bharatiya Janata Party,,,Maharashtra
