Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,State
1,Adilabad,Ramesh Rathod,रमेश राठौर,Telugu Desam Party,,,Andhra Pradesh
2,Peddapalle,Gaddam Vivek Venkatswamy,जी. विवेकानंद,Indian National Congress,,,Andhra Pradesh
3,Karimnagar,Ponnam Prabhakar,पोन्नम प्रभाकर,Indian National Congress,,,Andhra Pradesh
4,Nizamabad,Madhu Goud Yaskhi,मधु गौड यकशी,Indian National Congress,,,Andhra Pradesh
5,Zahirabad,Suresh Shetkar,सुरेश कुमार शेतकर,Indian National Congress,,,Andhra Pradesh
6,Medak,Vijayashanti,एम. विजया शांति,Telangana Rashtra Samithi,,,Andhra Pradesh
7,Malkajgiri,Sarvey Sathyanarayana,सर्वे सत्यनारायण,Indian National Congress,,,Andhra Pradesh
8,Secunderabad,M. Anjan Kumar Yadav,एम. अंजन कुमार यादव,Indian National Congress,,,Andhra Pradesh
9,Hyderabad,Asaduddin Owaisi,असादुदीन ओवैसी,All India Majlis-E-Ittehadul Muslimeen,,,Andhra Pradesh
10,Chevella,S. Jaipal Reddy,जयपाल रेड्डी,Indian National Congress,,,Andhra Pradesh
11,Mahbubnagar,K. Chandrashekar Rao,कल्वाकुंतला चंद्रशेखर राव,Telangana Rashtra Samithi,,,Andhra Pradesh
12,Nagarkurnool,Manda Jagannath,एम. जगन्नाथ,Indian National Congress,,,Andhra Pradesh
13,Nalgonda,Gutha Sukender Reddy,जी. एस. रेड्डी,Indian National Congress,,,Andhra Pradesh
14,Bhongir,Komatireddy Raj Gopal Reddy,के . राजगोपाल रेड्डी,Indian National Congress,,,Andhra Pradesh
15,Warangal,Rajaiah Siricilla,एस. राजैया,Indian National Congress,,,Andhra Pradesh
16,Mahabubabad,Porika Balram Naik,पी. बलराम,Indian National Congress,,,Andhra Pradesh
17,Khammam,Nama Nageswara Rao,एन. नागेश्वर राव,Telugu Desam Party,,,Andhra Pradesh
18,Araku,Kishore Chandra Deo,किशोर चंद्र सूर्यनारायण देव वाइरीचर्ला‎,Indian National Congress,,,Andhra Pradesh
19,Srikakulam,Killi Krupa Rani,के. के. रानी‎,Indian National Congress,,,Andhra Pradesh
20,Vizianagaram,Botsa Jhansi Lakshmi,झांसी लक्ष्मी बोचा,Indian National Congress,,,Andhra Pradesh
21,Visakhapatnam,Daggubati Purandeswari,डी. पुरंदेश्वरी,Indian National Congress,,,Andhra Pradesh
22,Anakapalli,Sabbam Hari,सब्बम हरि‎,Indian National Congress,,,Andhra Pradesh
23,Kakinada,M. M. Pallam Raju,एम. एम. पल्लमराजू‎,Indian National Congress,,,Andhra Pradesh
24,Amalapuram,G. V. Harsha Kumar,जी. वी. हर्षकुमार,Indian National Congress,,,Andhra Pradesh
